,Temp (oC),pH,SEC (µS/cm),Turbidity (<NTU),Total Iron (mg/l),Titration 1,Titration 2,N_VALUE,Tryptophan_Probe_µgL,Final HCO3
146,28.3,7.43,1160.0,1.54,0.03,545.0,570.0,1.6,1.0,588.808972327197
147,28.3,7.45,1197.0,0.4,0.03,570.0,576.0,1.6,1.0,594.904303303669
148,28.3,7.51,1250.0,0.4,0.031,610.0,605.0,1.6,1.0,626.600024381324
149,28.4,7.54,1258.0,0.4,0.037,198.5,641.0,1.6,1.1,663.172010240156
150,28.5,7.58,1272.0,0.4,0.04,198.5,202.5,1.6,1.3,685.115201755455
151,28.6,7.58,1286.0,0.4,0.04,198.5,202.5,1.6,1.3,692.429598927222
152,28.6,7.59,1318.0,0.4,0.04,198.5,202.5,1.6,0.41,694.86773131781
153,28.6,7.6,1370.0,0.4,0.01,198.5,202.5,1.6,0.41,699.743996098988
154,28.7,7.64,1393.0,0.4,0.01,198.5,202.5,1.6,0.41,702.182128489577
155,28.7,7.65,1554.0,0.4,0.01,198.5,202.5,1.6,0.41,729.001584786054
156,28.7,7.65,449.4,0.4,0.01,198.5,202.5,1.6,0.41,749.725710106059
157,28.7,7.65,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
158,29.0,7.69,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
159,29.1,7.75,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
160,29.2,7.77,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
161,29.9,7.98,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
